stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
496,,Berlin Tpke and Opp 1240 Berlin Tpke,41.724214,-72.692583,,,,
497,,Berlin Tpke and Opp 1276 Berlin Tpke,41.722151,-72.693616,,,,
498,,Berlin Tpke and Opp 1320 Berlin Tpke,41.720936,-72.694224,,,,
499,,Ridge Rd and Dept Of Ed,41.719799,-72.69172,,,,
500,,Ridge Rd and 211 Ridge Rd,41.718422,-72.691674,,,,
501,,Ridge Rd and Toll Gate Rd,41.716411,-72.691581,,,,
502,,Ridge Rd and Opp Kelleher Ct,41.7155,-72.691534,,,,
503,,Ridge Rd and Opp Oakdale St,41.714418,-72.691452,,,,
504,,Ridge Rd and Opp Harding St,41.713641,-72.691272,,,,
505,,Ridge Rd and Nott St,41.711969,-72.690827,,,,
506,,Ridge Rd and 435 Ridge Rd,41.710548,-72.69043,,,,
507,,Ridge Rd and Opp Rutledge Rd,41.709314,-72.69007,,,,
508,,Ridge Rd and Ridgemont Dr,41.708089,-72.689588,,,,
509,,Ridge Rd and Onlook Rd,41.707204,-72.68919,,,,
510,,Ridge Rd and Crest St,41.706283,-72.688768,,,,
511,,Ridge Rd and 671 Ridge Rd,41.704289,-72.687876,,,,
512,,Ridge Rd and 695 Ridge Rd,41.702233,-72.686949,,,,
513,,Ridge Rd and Wells Rd,41.701106,-72.686418,,,,
522,,Ridge Rd and 775 Ridge Rd,41.700042,-72.685743,,,,
523,,Ridge Rd and Opp Dix Rd,41.698271,-72.6845,,,,
524,,Ridge Rd and 869 Ridge Rd,41.697082,-72.683679,,,,
525,,Ridge Rd and Opp Dale Rd,41.696277,-72.683124,,,,
526,,Ridge Rd and Opp Clearfield Rd,41.695382,-72.682509,,,,
527,,Ridge Rd and Opp Brimfield Rd,41.694425,-72.681845,,,,
528,,Prospect St and Opp Willow St,41.689114,-72.687277,,,,
529,,Jordan Ln and Tabshey Ct,41.721337,-72.684779,,,,
530,,Jordan Ln and Brookside Cir,41.721834,-72.681086,,,,
531,,Jordan Ln and Folly Brook Blvd,41.7221,-72.679305,,,,
532,,Jordan Ln and Wolcott Hill Rd,41.723057,-72.672402,,,,
533,,Silas Deane Hwy and Cumberland Ave,41.721067,-72.667673,,,,
534,,Silas Deane Hwy and Nott St,41.716936,-72.665648,,,,
536,,Wolcott Hill Rd and Lorraine Rd,41.717605,-72.672063,,,,
537,,Wolcott Hill Rd and Cumberland Ave,41.719393,-72.672519,,,,
